KR	JP
프롤로그	プロローグ
8월이 눈앞에 다가왔을 무렵.	　八月が目の前に迫った頃。
아르젤 공화국에 유학 온 나 【리온 포우 발트팔트】는, 학원의 의자에 앉은 채기지개를 켜고 있었다.	　アルゼル共和国に留学した俺【リオン・フォウ・バルトファルト】は、学院の教室で椅子に座ったまま背伸びをしていた。
“겨우 끝났다~”	「やっと終わった～」
저녁이 되어, 창문 밖은 오렌지색으로 물들어 실로 아름답게 보였다.	　夕方になり、窓の外はオレンジ色に染まって実に美しく見える。
보습에서 해방됐다는 정신적 선입관으로 인해, 오늘의 경치는 한층 더 아름답게 보였다.	　補習から解放されたという精神的なバイアスがかかり、今日の景色は一段と美しく見えた。
교실 안에는, 나 외에도 홀파트 왕국에서 유학 온 일행들이 모여있다.	　教室内には、俺の他にもホルファート王国から留学してきた面子が揃っている。
“하아~, 이제야 우리도 여름방학이네”	「はぁ～、ようやく私たちも夏期休暇ね」
어깨를 떨구고 있는 【마리에 포우 라판】은, 전혀 기뻐 보이지 않는다.	　肩を落としている【マリエ・フォウ・ラーファン】は、まったく嬉しそうには見えない。
학생 시절로 돌아가 여름방학을 체험할 수 있다고 한다면, 기분 좋아할 것 같은 녀석인데 말이다.	　学生時代に戻って夏休みが体験できると聞けば、テンションが上がりそうな奴なのに、だ。
그런 마리에를 위로하는 건, 마리에한테 은혜를 느끼는 【카라 포우 웨인】이다.	　そんなマリエを慰めるのは、マリエに恩を感じている【カーラ・フォウ・ウェイン】だ。
체구가 작은 마리에와 달리 평균적인 신장으로, 감색의 머리카락은 긴 장발이다.	　小柄なマリエと違って平均的な身長で、紺色の髪はストレートのロングだ。
「마리에 님, 모처럼 여름방학인데 기쁘지 않으세요?」	「マリエ様、せっかくの夏期休暇なのに嬉しくないんですか？」
카라의 질문에, 마리에는 교실 안에서 즐겁게 이야기하고 있는 오인조에게 시선을 향했다.	　カーラの疑問に、マリエは教室内で楽しそうに話をしている五人組へと視線を向けた。
거기에 있는 건, 다섯 얼간이――가 아니라, 같은 왕국에서 온 유학생들.	　そこにいるのは、五馬鹿──もとい、同じ王国からの留学生たち。
「예정이 없는 휴가란 것도 신선하군」	「予定のない休みというのも新鮮だな」
그리 말하는 건 【율리우스 라파 홀파트】다.	　そう言うのは【ユリウス・ラファ・ホルファート】だ。
감색의 단발머리인 왕자님은 웃는 얼굴로 여름방학에 대해 이야기하고 있다.	　紺色のショートヘアーの王子様は、笑顔で夏期休暇について話をしている。
「이전의 여름방학은 이것저것 있었으니까요. 전하는 무슨 예정이라도?」	「以前の夏期休暇は色々とありましたからね。殿下は何かご予定でも？」
율리우스에게 그리 물어본 것은 【지르크 피아 마모리아】였다.	　ユリウスにそう尋ねたのは、【ジルク・フィア・マーモリア】だった。
율리우스의 젖형제――어렸을 적부터 함께 자란 특별한 주종(主從)이란 거다.	　ユリウスの乳兄弟──幼い頃から共に育った特別な主従というやつだ。
「앞으로 한 달은 뭘 하며 지낼까?」	「これから一ヶ月は何をして過ごすかな？」
머리 뒤로 깍지를 끼고 있는 【그렉 포우 세버그】가 여름방학을 지낼 방법에대해 고민하고 있었다.	　頭の後ろで手を組んでいる【グレッグ・フォウ・セバーグ】が、夏期休暇の過ごし方について悩んでいた。
이 녀석들은 전 귀공자들이다.	　こいつらは元貴公子たちだ。
원래대로라면, 그들은 여름방학이라 해도 예정이 꽉 차있는 듯한 생활을 보낼입장에 있었다.	　本来であれば、彼らは夏期休暇だろうと予定がぎっしりと詰まっているような生活を送る立場にあった。
하지만, 지금은 친가로부터 버려져 자유로운 몸이 되어있다.	　だが、今は実家から見放されて自由の身になっている。
그게 기쁜지 여름방학을 기대하고 있는 듯하다.	　それが嬉しいのか、夏期休暇を楽しみにしていたようだ。
평소에는 말수가 적은 냉정한 【크리스 피아 아크라이트】도 그렉과 함께 여름방학에 대해 이야기를 부풀리고 있었다.	　普段は口数が少なく冷静な【クリス・フィア・アークライト】も、グレッグと一緒に夏期休暇について話し合い盛り上がっていた。
「난 공화국의 무기에 흥미가 있으니, 조금 멀리 가더라도 무기를 보며 돌아다니고 싶어. 박물관 같은 게 있다면 좋겠는데」	「私は共和国の武器に興味があるから、少し遠出をしてでも武器を見て回りたい。博物館などあればいいのだが」
여름방학에 박관물관이라니, 어쩜 이리도 고상한 휴일을 즐기는 방법일까.	　夏期休暇に博物館など、なんと高尚な休日の過ごし方だろうか。
전생――그 여성향 게임의 세계로 환생하기 전의 나라면, 휴일은 빈둥거리며무의미하게 지냈을 것이 분명하다.	　前世──あの乙女ゲーの世界に転生する前の俺なら、休日はダラダラと無駄に過ごしていたに違いない。
마지막으로 【브래드 포우 필드】가 고민하는 네 명에게 제안한다.	　最後に【ブラッド・フォウ・フィールド】が、悩んでいる四人に提案する。
「모두 아직 예정이 정해지지 않은 거야? 그럼, 비행선을 빌려서 공화국을 크루징 하는 건 어때?」	「みんなまだ予定が決まっていないのかい？　なら、飛行船を借りて共和国をクルージングなんてどうだろう？」
크루징 같은 말이 나오다니, 역시 이 녀석들 부자들이구만.	　クルージングなんて言葉が出てくるなんて、やっぱりこいつら金持ちだな。
서민이 소풍 가자! 라고, 가벼운 마음으로 권하듯 크루징을 가려하고 있다.	　庶民がピクニックに行こうぜ！　と、軽い気持ちで誘うようにクルージングに出かけようとしている。
